HB,Month,TotalPatientsWaiting,TotalPatientsWaitingQF,NumberOfPatientsWaiting0To18Weeks,NumberOfPatientsWaiting0To18WeeksQF,NumberOfPatientsWaiting19To35Weeks,NumberOfPatientsWaiting19To35WeeksQF,NumberOfPatientsWaiting36To52Weeks,NumberOfPatientsWaiting36To52WeeksQF,NumberOfPatientsWaitingOver52Weeks,NumberOfPatientsWaitingOver52WeeksQF
S08000015,202503,134,,134,,0,,0,,0,
S08000016,202503,44,,44,,0,,0,,0,
S08000017,202503,213,,213,,0,,0,,0,
S08000019,202503,95,,95,,0,,0,,0,
S08000020,202503,613,,585,,24,,4,,0,
S08000022,202503,223,,142,,45,,26,,10,
S08000024,202503,1909,,1152,,400,,213,,144,
S08000025,202503,38,,38,,0,,0,,0,
S08000026,202503,38,,38,,0,,0,,0,
S08000028,202503,4,,4,,0,,0,,0,
S08000029,202503,92,,91,,1,,0,,0,
S08000030,202503,221,,209,,10,,0,,2,
S08000031,202503,584,,581,,3,,0,,0,
S08000032,202503,466,,432,,16,,10,,8,
S92000003,202503,4674,d,3758,d,499,d,253,d,164,d
S08000015,202502,144,,144,,0,,0,,0,
S08000016,202502,37,,37,,0,,0,,0,
S08000017,202502,161,,161,,0,,0,,0,
S08000019,202502,62,,61,,1,,0,,0,
S08000020,202502,613,,586,,21,,6,,0,
S08000022,202502,319,,217,,51,,36,,15,
S08000024,202502,1830,,1160,,328,,213,,129,
S08000025,202502,34,,34,,0,,0,,0,
S08000026,202502,39,,39,,0,,0,,0,
S08000028,202502,4,,4,,0,,0,,0,
S08000029,202502,71,,71,,0,,0,,0,
S08000030,202502,210,,197,,11,,1,,1,
S08000031,202502,556,,556,,0,,0,,0,
S08000032,202502,396,,360,,16,,13,,7,
S92000003,202502,4476,d,3627,d,428,d,269,d,152,d
S08000015,202501,88,,88,,0,,0,,0,
S08000016,202501,39,,39,,0,,0,,0,
S08000017,202501,128,,128,,0,,0,,0,
S08000019,202501,57,,56,,0,,1,,0,
S08000020,202501,535,,518,,12,,5,,0,
S08000022,202501,350,,213,,72,,42,,23,
S08000024,202501,1858,,1188,,350,,209,,111,
S08000025,202501,24,,24,,0,,0,,0,
S08000026,202501,32,,32,,0,,0,,0,
S08000028,202501,5,,5,,0,,0,,0,
S08000029,202501,65,,64,,1,,0,,0,
S08000030,202501,205,,189,,12,,3,,1,
S08000031,202501,561,,556,,5,,0,,0,
S08000032,202501,467,,429,,15,,16,,7,
S92000003,202501,4414,d,3529,d,467,d,276,d,142,d
