HB,Month,FirstContactAppointments,FirstContactAppointmentsQF,DidNotAttends,DidNotAttendsQF,TotalAppointments,TotalAppointmentsQF
S08000015,202503,97,,11,,108,
S08000016,202503,12,,7,,19,
S08000017,202503,188,,1,,189,
S08000019,202503,73,,8,,81,
S08000020,202503,201,,17,,218,
S08000022,202503,63,,4,,67,
S08000024,202503,315,,33,,348,
S08000025,202503,11,,1,,12,
S08000026,202503,16,,2,,18,
S08000028,202503,10,,0,,10,
S08000029,202503,129,,7,,136,
S08000030,202503,96,,7,,103,
S08000031,202503,326,,34,,360,
S08000032,202503,163,,44,,207,
S92000003,202503,1700,d,176,d,1876,d
S08000015,202502,82,,9,,91,
S08000016,202502,15,,4,,19,
S08000017,202502,160,,2,,162,
S08000019,202502,83,,9,,92,
S08000020,202502,177,,8,,185,
S08000022,202502,101,,15,,116,
S08000024,202502,337,,28,,365,
S08000025,202502,6,,0,,6,
S08000026,202502,6,,3,,9,
S08000028,202502,13,,2,,15,
S08000029,202502,100,,9,,109,
S08000030,202502,94,,6,,100,
S08000031,202502,317,,34,,351,
S08000032,202502,205,,52,,257,
S92000003,202502,1696,d,181,d,1877,d
S08000015,202501,88,,7,,95,
S08000016,202501,13,,1,,14,
S08000017,202501,137,,2,,139,
S08000019,202501,77,,11,,88,
S08000020,202501,188,,20,,208,
S08000022,202501,77,,5,,82,
S08000024,202501,334,,33,,367,
S08000025,202501,7,,3,,10,
S08000026,202501,9,,1,,10,
S08000028,202501,13,,2,,15,
S08000029,202501,111,,12,,123,
S08000030,202501,77,,11,,88,
S08000031,202501,333,,33,,366,
S08000032,202501,138,,20,,158,
S92000003,202501,1602,d,161,d,1763,d
S08000015,202412,70,,10,,80,
S08000016,202412,18,,2,,20,
S08000017,202412,107,,2,,109,
S08000019,202412,54,,5,,59,
S08000020,202412,186,,8,,194,
S08000022,202412,72,,7,,79,
S08000024,202412,324,,29,,353,
S08000025,202412,5,,2,,7,
S08000026,202412,5,,1,,6,
S08000028,202412,12,,0,,12,
S08000029,202412,78,,9,,87,
S08000030,202412,88,,13,,101,
S08000031,202412,230,,26,,256,
S08000032,202412,96,,22,,118,
S92000003,202412,1345,d,136,d,1481,d
S08000015,202411,96,,6,,102,
S08000016,202411,25,,4,,29,
S08000017,202411,116,,2,,118,
S08000019,202411,90,,6,,96,
S08000020,202411,199,,17,,216,
S08000022,202411,118,,7,,125,
S08000024,202411,386,,29,,415,
S08000025,202411,9,,1,,10,
S08000026,202411,10,,2,,12,
S08000028,202411,22,,1,,23,
S08000029,202411,141,,9,,150,
S08000030,202411,72,,10,,82,
S08000031,202411,338,,25,,363,
S08000032,202411,170,,40,,210,
S92000003,202411,1792,d,159,d,1951,d
S08000015,202410,101,,6,,107,
S08000016,202410,21,,2,,23,
S08000017,202410,136,,3,,139,
S08000019,202410,99,,6,,105,
