HB,Month,ReferralsAccepted,ReferralsAcceptedQF,ReferralsReceived,ReferralsReceivedQF
S08000015,202503,97,,167,
S08000016,202503,23,,31,
S08000017,202503,183,,198,
S08000019,202503,109,,175,
S08000020,202503,323,,394,
S08000022,202503,83,,128,
S08000024,202503,481,,632,
S08000025,202503,8,,13,
S08000026,202503,10,,12,
S08000028,202503,9,,9,
S08000029,202503,150,,243,
S08000030,202503,117,,203,
S08000031,202503,348,,627,
S08000032,202503,271,,359,
S92000003,202503,2212,d,3191,d
S08000015,202502,127,,208,
S08000016,202502,16,,20,
S08000017,202502,159,,176,
S08000019,202502,92,,147,
S08000020,202502,276,,333,
S08000022,202502,92,,128,
S08000024,202502,470,,562,
S08000025,202502,19,,22,
S08000026,202502,11,,15,
S08000028,202502,12,,12,
S08000029,202502,144,,233,
S08000030,202502,104,,199,
S08000031,202502,304,,557,
S08000032,202502,200,,324,
S92000003,202502,2026,d,2936,d
S08000015,202501,115,,188,
S08000016,202501,20,,24,
S08000017,202501,134,,146,
S08000019,202501,52,,73,
S08000020,202501,284,,351,
S08000022,202501,119,,145,
S08000024,202501,506,,610,
S08000025,202501,17,,19,
S08000026,202501,14,,16,
S08000028,202501,10,,10,
S08000029,202501,127,,197,
S08000030,202501,91,,174,
S08000031,202501,348,,528,
S08000032,202501,186,,287,
S92000003,202501,2023,d,2768,d
S08000015,202412,82,,165,
S08000016,202412,20,,26,
S08000017,202412,106,,116,
S08000019,202412,68,,118,
S08000020,202412,245,,293,
S08000022,202412,96,,124,
S08000024,202412,488,,575,
S08000025,202412,10,,12,
S08000026,202412,12,,14,
S08000028,202412,10,,10,
S08000029,202412,106,,182,
S08000030,202412,99,r,160,r
S08000031,202412,328,,488,
S08000032,202412,178,,256,
S92000003,202412,1848,d r,2539,d r
S08000015,202411,126,,195,
S08000016,202411,27,,31,
S08000017,202411,151,,162,
S08000019,202411,71,,128,
S08000020,202411,293,,375,
S08000022,202411,127,,169,
S08000024,202411,570,,719,
S08000025,202411,12,,13,
S08000026,202411,13,,15,
S08000028,202411,14,,14,
S08000029,202411,133,,229,
S08000030,202411,81,r,181,r
S08000031,202411,437,,722,
S08000032,202411,236,,355,
S92000003,202411,2291,d r,3308,d r
S08000015,202410,113,,171,
S08000016,202410,19,,21,
S08000017,202410,149,,167,
S08000019,202410,102,,132,
S08000020,202410,277,,337,
S08000022,202410,95,,118,
S08000024,202410,619,,764,
S08000025,202410,7,,10,
S08000026,202410,9,,10,
S08000028,202410,11,,11,
S08000029,202410,115,,183,
S08000030,202410,94,r,153,r
S08000031,202410,393,,651,
S08000032,202410,189,,323,
S92000003,202410,2192,d r,3051,d r
S08000015,202409,125,,192,
S08000016,202409,17,,24,
S08000017,202409,156,,175,
S08000019,202409,66,,112,
S08000020,202409,266,,313,
S08000022,202409,115,,148,
S08000024,202409,614,,709,
S08000025,202409,4,,8,
S08000026,202409,12,,13,
S08000028,202409,15,,15,
S08000029,202409,125,,200,
S08000030,202409,109,r,209,r
S08000031,202409,400,,616,
S08000032,202409,179,,291,
S92000003,202409,2203,d r,3025,d r
S08000015,202408,74,,131,
S08000016,202408,22,,38,
S08000017,202408,89,,107,
S08000019,202408,79,,115,
S08000020,202408,199,,246,
S08000022,202408,98,,120,
S08000024,202408,514,,589,
S08000025,202408,6,,6,
S08000026,202408,12,,12,
S08000028,202408,5,,5,
S08000029,202408,120,,200,
S08000030,202408,68,r,145,r
S08000031,202408,325,,511,
S08000032,202408,172,,233,
S92000003,202408,1783,d r,2458,d r
S08000015,202407,66,,112,
S08000016,202407,9,,28,
S08000017,202407,82,,98,
S08000019,202407,57,,100,
S08000020,202407,187,,217,
S08000022,202407,91,,110,
S08000024,202407,431,,492,
S08000025,202407,6,,10,
S08000026,202407,8,,8,
S08000028,202407,5,,5,
S08000029,202407,87,,145,
S08000030,202407,77,r,119,
S08000031,202407,198,,332,
S08000032,202407,104,,161,
S92000003,202407,1408,d r,1937,d
S08000015,202406,112,,180,
S08000016,202406,16,,37,
S08000017,202406,102,,136,
S08000019,202406,112,,160,
S08000020,202406,237,,318,
S08000022,202406,112,,138,
S08000024,202406,636,,732,
S08000025,202406,9,,13,
S08000026,202406,5,,5,
S08000028,202406,9,,9,
